Step,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Orientation,Angular_Velocity_X,Angular_Velocity_Y,Angular_Velocity_Z,Action_Type,Action_Vector,Curiosity_Reward,World_Loss,Self_Loss,Reward_Trend
36,-0.01598481981322936,0.09387160987305387,0.1999899999999988,0.4822442843728546,1.1899924747685051,-1.1438072711200675e-13,"(-0.014663475879390675, -0.020718150709160017, -0.7550501012290294, 0.6551756141221675)",-0.5927880967905345,-0.09311135961265664,-9.506890128245578,left,"[0, -50.0, 0, 0]",0.22491450607776642,0.05270606279373169,0.00013083698286209255,0.3091631785437867
37,-0.013979835482194884,0.09882031764740089,0.19998999999999842,0.48119623944827433,1.187689865843284,-9.325179517460924e-14,"(-0.015780201584894193, -0.021503437656404608, -0.7678306811708585, 0.6400973617033525)",-0.6148684125130498,-0.08214212605286253,-9.490212177816177,left,"[0, -50.0, 0, 0]",0.22110547125339508,0.05095803365111351,4.046791582368314e-05,0.30684587045719747
38,-0.011668433575925924,0.10205322696818933,0.1999899999999987,0.5547364575045504,0.7758982369892254,6.895178872312613e-14,"(-0.016939516456602927, -0.022286977368089444, -0.7802868470153127, 0.6247949902143203)",-0.6323569226623442,-0.06576360416086727,-9.47358775493385,backward,"[-50.0, 0, 0, 0]",0.21742945909500122,0.049295101314783096,0.00024422165006399155,0.3045531419607309
39,-0.008985983592623157,0.10358809780457051,0.19998999999999906,0.6437879959926641,0.3683690007314833,8.512635041313388e-14,"(-0.018139876996662304, -0.023043870159129353, -0.7924154693767621, 0.6092763320555306)",-0.6399492592501551,-0.042047979563947596,-9.45701703434882,backward,"[-50.0, 0, 0, 0]",0.2131548672914505,0.047366950660943985,0.0003833439841400832,0.3022681850939989
40,-0.00631229358557862,0.10511957910063413,0.1999899999999992,0.6416856016906887,0.3675555110552698,3.0503377601576176e-14,"(-0.01925851145978701, -0.023875221166996117, -0.8009812080271778, 0.5979031593309265)",-0.6476635739542759,-0.018030663344241697,-6.836334100740421,rotate_left,"[0, 0, 0, 5.0]",0.2094256579875946,0.04570071026682854,0.0012874662643298507,0.3000037332133549
41,-0.0031543523615087414,0.10498794122776157,0.1999899999999995,0.757905893776771,-0.031593089489413785,7.109590693943346e-14,"(-0.020407661064813374, -0.02465976084238144, -0.8093713630458144, 0.5864242664201583)",-0.641412842561444,0.007548489442174761,-6.827370563372825,backward,"[-50.0, 0, 0, 0]",0.205311119556427,0.04391142725944519,0.0005950071499682963,0.2977491471739042
42,0.0005357447641340753,0.10321126607489019,0.1999899999999996,0.885623310154276,-0.42640203668913296,2.541022947610827e-14,"(-0.02157187275510356, -0.025386905908947304, -0.8175854645574241, 0.5748427328049203)",-0.6264436203985088,0.030066127684669056,-6.818429623396987,backward,"[-50.0, 0, 0, 0]",0.20074880123138428,0.04198797047138214,0.0006942105246707797,0.29549332517524096
43,0.004217415149465012,0.10143969741289002,0.19998999999999928,0.8836008924794249,-0.42517647888003923,-8.104628079763643e-14,"(-0.022750772240201386, -0.02605895959435312, -0.8256225537279086, 0.5631613727548623)",-0.6120663511405797,0.05164842779999635,-6.80951201264326,right,"[0, 50.0, 0, 0]",0.1964591145515442,0.040193572640419006,0.006146641913801432,0.29324254766106606
44,0.007890662556291683,0.09967323211353982,0.19998999999999925,0.8815793776384011,-0.4239516718440508,-7.480127628411992e-15,"(-0.023944813378399016, -0.026676175407395045, -0.8334816984195563, 0.551383066458845)",-0.597711147766904,0.07320399005601293,-6.800617474497531,right,"[0, 50.0, 0, 0]",0.19265198707580566,0.03864377737045288,0.004033476579934359,0.2910072018702825
45,0.010876807564975898,0.0995069689666876,0.1999899999999994,0.7166748020842116,-0.039903155244530905,3.24462678946702e-14,"(-0.02516525673174995, -0.027252919159317223, -0.8411614823401576, 0.5395102861653611)",-0.5918893786707525,0.09533077279845799,-6.791745812992315,forward,"[50.0, 0, 0, 0]",0.1889016181230545,0.03717394173145294,0.00020417400810401887,0.2887875152670819
46,0.01385380124269992,0.09934263431506135,0.19998999999999933,0.7144784826537651,-0.03944031639030058,-1.1428358259735205e-14,"(-0.02641631530862585, -0.027785561552464793, -0.8486608932107947, 0.5275460446154303)",-0.585475448049333,0.12009577001733598,-6.782895993392518,right,"[0, 50.0, 0, 0]",0.18528704345226288,0.03576802462339401,0.0002264615031890571,0.28658537756889424
47,0.01605601301833567,0.10073261090605434,0.1999899999999995,0.5285308261525802,0.3335943818383175,3.8365144394703066e-14,"(-0.027704646950641874, -0.028305222121213877, -0.8559784940284482, 0.5154920801513819)",-0.5931882700684087,0.13967583349501606,-6.774067855094984,forward,"[50.0, 0, 0, 0]",0.18181295692920685,0.034448858350515366,0.0005323015502654016,0.28440261880556744
48,0.019058539591994727,0.10058954354871943,0.19998999999999958,0.7206063776781733,-0.0343361657603793,2.238487173400472e-14,"(-0.02903146370323668, -0.02877515879798768, -0.8631137323498079, 0.5033526093908555)",-0.5858952974073266,0.16905602452695084,-6.765259958659335,backward,"[-50.0, 0, 0, 0]",0.17828966677188873,0.033145491033792496,0.001316658454015851,0.2822370483559005
49,0.022051897215890452,0.10044834844874115,0.19998999999999903,0.7184058297349741,-0.033886823994788054,-1.3018752742510742e-13,"(0.030389806995776245, 0.029202721474867948, 0.8700660109401442, -0.4911301225703077)",-0.579640715370018,0.19375899651547462,-6.756473366727837,left,"[0, -50.0, 0, 0]",0.17485640943050385,0.031892355531454086,7.338209252338856e-05,0.2800894355773926
50,0.02503608930461547,0.10030902354971091,0.19998999999999936,0.7162061012940045,-0.033437975767256115,7.692457781871553e-14,"(0.03177988876808475, 0.029588457069939917, 0.8768345604825095, -0.4788274380416736)",-0.57339949123885,0.218431133081958,-6.747707902225642,right,"[0, 50.0, 0, 0]",0.17141766846179962,0.030645325779914856,0.002241949550807476,0.27795861661434174
51,0.02801111926209304,0.10017156678503857,0.19998999999999945,0.7140071897946171,-0.03298962352136439,2.020605904817785e-14,"(0.033201906797433706, 0.02993292668982961, 0.8834186468052767, -0.4664473686939713)",-0.5671716150292176,0.24307254817998963,-6.738963380446535,left,"[0, -50.0, 0, 0]",0.1680794358253479,0.02946179360151291,0.00012161134509369731,0.27584555544532263
52,0.030976990481536078,0.10003597607768033,0.19998999999999933,0.7118090926663291,-0.032541769765977016,-2.343264471349471e-14,"(0.03465604461885389, 0.0302367052960612, 0.8898175705932531, -0.45399272162418647)",-0.560957078026063,0.2676833542031446,-6.730239617745827,right,"[0, 50.0, 0, 0]",0.16489139199256897,0.02834703028202057,0.0030432010535150766,0.2737520806631952
53,0.033933706345404976,0.09990224933985864,0.19998999999999958,0.7096118073285355,-0.03209441707720601,6.01879657224913e-14,"(0.03614247144930296, 0.03050038137199705, 0.8960306671010203, -0.4414662978169451)",-0.554755872804691,0.29226366199850046,-6.721536431537289,right,"[0, 50.0, 0, 0]",0.16182753443717957,0.027288801968097687,0.0025732582435011864,0.27167940388123196
54,0.036881270225363784,0.09977038447277359,0.19998999999999956,0.7074153311901135,-0.031647568100412415,-4.4825254619240695e-15,"(0.03766134211565138, 0.030724556590416875, 0.9020573058686084, -0.42887089183277277)",-0.5485679932523817,0.316813580880828,-6.712853640290171,left,"[0, -50.0, 0, 0]",0.1589079052209854,0.026295563206076622,7.51921979826875e-05,0.26962901299650016
55,0.0409097516741796,0.09829678235710328,0.1999899999999988,0.9668355477157967,-0.3536645077608753,-1.7977286326242847e-13,"(0.03921680812585149, 0.030882323665451124, 0.9078970332738135, -0.41621064500809013)",-0.5312756154349759,0.34875319956883233,-6.7041910635262845,backward,"[-50.0, 0, 0, 0]",0.15566915273666382,0.02521253190934658,0.0012141913175582886,0.26759401549186024
56,0.044929299981006296,0.09682755881472377,0.199989999999999,0.9646915936384066,-0.3526136501710806,4.4020342926387457e-14,"(0.040959372312960984, 0.030776564827809758, 0.9157254702771559, -0.39852477459100283)",-0.5189503898948554,0.3710151871922476,-9.29971575396333,rotate_right,"[0, 0, 0, -5.0]",0.15284550189971924,0.024283841252326965,0.0007370806997641921,0.26558088367445426
57,0.04893991908151926,0.09536271046266988,0.19998999999999834,0.962548584123112,-0.35156360449293445,-1.5788065299560117e-13,"(0.04271720057905987, 0.030618355816961394, 0.9231947893768022, -0.38072186426481475)",-0.5064212313169612,0.3930905186647623,-9.2837178091653,left,"[0, -50.0, 0, 0]",0.15002484619617462,0.02337118424475193,1.2406434507283848e-05,0.26358853820069084
58,0.0541644048948188,0.0926805317599026,0.1999899999999987,1.2538765951918889,-0.643722888664147,8.770761894538737e-14,"(0.04450398108561737, 0.03038098377302216, 0.930303538194193, -0.36281085749448044)",-0.48414653318231554,0.4261935295957319,-9.267771746006503,backward,"[-50.0, 0, 0, 0]",0.14723506569862366,0.022479107603430748,0.0007507397094741464,0.2616164454464185
59,0.0593796064474375,0.09000398276804326,0.19998999999999892,1.251648372628487,-0.6423717580462405,5.162537064506978e-14,"(0.046302527517101184, 0.03008990404847376, 0.9370513666785768, -0.34479763605003594)",-0.46965837880278133,0.44702127401367686,-9.25187722419742,left,"[0, -50.0, 0, 0]",0.14474575221538544,0.02169095166027546,9.120510924276459e-08,0.25966860055923463
60,0.0658968176276192,0.08620983306725367,0.19998999999999914,1.5641306832436077,-0.9105959281895029,5.5094817597023393e-14,"(0.048132402010797805, 0.029715824388961077, 0.9434367906999601, -0.32669138894576766)",-0.4448113069631747,0.48156186570812254,-9.236034048646125,backward,"[-50.0, 0, 0, 0]",0.14234964549541473,0.020944880321621895,0.0006441504810936749,0.25774533900081137
61,0.07375642181287254,0.08135075238444528,0.19998999999999784,1.886305004460799,-1.1661793638740154,-3.108208135316204e-13,"(0.04999504307426098, 0.029256999146284473, 0.9494590629629743, -0.3084996133327039)",-0.4187266456187447,0.5168615455413477,-9.220241554248679,backward,"[-50.0, 0, 0, 0]",0.14126324653625488,0.02057238109409809,0.0005132494843564928,0.2558665955739637
62,0.0816048449856704,0.07649916037198212,0.19998999999999809,1.8836215614714884,-1.1643820829911586,5.877243136609422e-14,"(0.05202063103396132, 0.02847106200124156, 0.9566790822677756, -0.2850410253395753)",-0.4033632064273567,0.5368772505407351,-11.808665879988517,rotate_right,"[0, 0, 0, -5.0]",0.14085182547569275,0.020420195534825325,0.0005394882755354047,0.2540409643025625
63,0.08944209690332555,0.07165504974664591,0.19998999999999711,1.8809404602372364,-1.1625865500806893,-2.348954364350675e-13,"(0.0540433581594803, 0.02762797471157979, 0.9633032580624821, -0.26146289116887983)",-0.38785428633535607,0.5566289897442213,-11.783419456671744,right,"[0, 50.0, 0, 0]",0.14061453938484192,0.02033553458750248,0.0006055676494725049,0.25226867641322315
64,0.09726818730243465,0.06681841323989038,0.19998999999999698,1.878261695786183,-1.160792761621326,-3.6436131889416856e-14,"(0.056204954984106194, 0.02643206947884291, 0.970607025126967, -0.2325174219547421)",-0.3723820985079085,0.5763421834619019,-14.362442401144074,rotate_right,"[0, 0, 0, -5.0]",0.1401577740907669,0.020199676975607872,0.0004173610941506922,0.25054389330057
65,0.10508312577392476,0.06198924341935652,0.1999899999999975,1.8755852331576242,-1.1590007569281255,1.2763401446846956e-13,"(0.05847926196906709, 0.024866411600263854, 0.9781122460673563, -0.19813700206360008)",-0.3567855616218939,0.5957676354741055,-16.929796155414802,rotate_right,"[0, 0, 0, -5.0]",0.14044268429279327,0.02026386559009552,0.00033346741111017764,0.2488756931640885
66,0.11288692176366603,0.05716753268949519,0.1999899999999963,1.8729110375379077,-1.1572105751667188,-2.895045314588174e-13,"(0.06083348153400918, 0.02291395652802646, 0.9852532197494482, -0.15827296387579476)",-0.3410795004870594,0.6148907137387082,-19.48333135484806,rotate_right,"[0, 0, 0, -5.0]",0.1409856528043747,0.02041616477072239,0.00025026427465490997,0.24726539405424203
67,0.12067958457338945,0.052353273292598534,0.1999899999999956,1.8702390743336206,-1.1554222552551967,-1.7302825838783065e-13,"(0.0631179089127282, 0.02089363896272018, 0.9907509784721188, -0.1182881400729554)",-0.32527890702286066,0.6336975671269515,-19.41677624558574,right,"[0, 50.0, 0, 0]",0.14105969667434692,0.020449550822377205,0.0011485629947856069,0.24570354556336121
68,0.1284611234871697,0.0475464574892481,0.19998999999999528,1.8675693393072608,-1.1536357928041032,-7.654987754790454e-14,"(0.06523091771853558, 0.019157283572572036, 0.9941737558277784, -0.08364489872673996)",-0.3095394321505333,0.6524496545631223,-16.746495983695542,rotate_left,"[0, 0, 0, 5.0]",0.14160172641277313,0.020604250952601433,0.0001682986185187474,0.24419482354668604
69,0.13623154789670153,0.04274707773729933,0.19998999999999484,1.864901858287638,-1.1518511404677056,-1.0497852587221246e-13,"(0.06729923982072682, 0.01736887316584098, 0.996377237970894, -0.04900545090083111)",-0.2939941875644248,0.6714300942557065,-16.69692060893486,left,"[0, -50.0, 0, 0]",0.14192405343055725,0.020701294764876366,0.0004541234811767936,0.24273381254502704
70,0.1439908671748653,0.03795512651116432,0.19998999999999492,1.8622366267593111,-1.1500682942724023,1.807581861967833e-14,"(0.0693221459000491, 0.015532288845904777, 0.9973692824820136, -0.014411885800724167)",-0.27850036659030747,0.6903619338971354,-16.647628514267563,right,"[0, 50.0, 0, 0]",0.14287248253822327,0.020978229120373726,0.0007506507099606097,0.24132731493929743
71,0.1534469825804888,0.03312221321991353,0.19998999999999698,2.2694676973496395,-1.1598991899001896,4.89983054130505e-13,"(0.07136583645194072, 0.013617676913761641, 0.9971548656066922, 0.020091049248032768)",-0.24726195629189562,0.7416817208144484,-16.59861716430983,backward,"[-50.0, 0, 0, 0]",0.14394494891166687,0.021304478868842125,3.8640009734081104e-05,0.23997478207780254
